ID,Name,Department,Salary,Hire Date
1,Employee 1,HR,"$80,188.00",2019-05-19
2,Employee 2,HR,"$81,471.00",2014-10-08
3,Employee 3,HR,"$100,334.00",2018-10-19
4,Employee 4,Sales,"$42,439.00",2020-01-31
5,Employee 5,Engineering,"$40,199.00",2018-12-23
6,Employee 6,Sales,"$48,500.00",2021-05-25
7,Employee 7,Sales,"$110,581.00",2017-04-08
8,Employee 8,Finance,"$114,205.00",2013-08-16
9,Employee 9,Marketing,"$50,856.00",2017-01-25
10,Employee 10,Finance,"$57,673.00",2016-05-19
11,Employee 11,Marketing,"$107,667.00",2013-02-03
12,Employee 12,Analytics,"$84,174.00",2019-05-11
13,Employee 13,Engineering,"$60,459.00",2010-07-02
14,Employee 14,Sales,"$79,421.00",2018-02-03
15,Employee 15,Marketing,"$52,710.00",2010-02-25
16,Employee 16,HR,"$70,962.00",2014-12-23
17,Employee 17,Analytics,"$59,356.00",2019-12-28
18,Employee 18,HR,"$67,392.00",2022-11-12
19,Employee 19,Sales,"$50,108.00",2019-08-10
20,Employee 20,Engineering,"$79,109.00",2021-09-12
21,Employee 21,Marketing,"$49,201.00",2020-07-02
22,Employee 22,Analytics,"$65,601.00",2012-01-26
23,Employee 23,Marketing,"$65,051.00",2013-09-05
24,Employee 24,Finance,"$83,896.00",2009-12-25
25,Employee 25,Marketing,"$54,875.00",2009-07-25
26,Employee 26,Sales,"$108,044.00",2014-12-18
27,Employee 27,HR,"$52,552.00",2010-02-10
28,Employee 28,Marketing,"$103,875.00",2014-04-14
29,Employee 29,Analytics,"$61,894.00",2017-05-05
30,Employee 30,Sales,"$66,541.00",2021-03-12
31,Employee 31,Sales,"$87,575.00",2015-04-03
32,Employee 32,Engineering,"$46,491.00",2016-08-22
33,Employee 33,Engineering,"$113,725.00",2022-09-13
34,Employee 34,Finance,"$84,913.00",2011-08-19
35,Employee 35,Sales,"$43,683.00",2018-04-03
36,Employee 36,Marketing,"$90,673.00",2021-07-30
37,Employee 37,Analytics,"$67,611.00",2018-06-10
38,Employee 38,Finance,"$52,267.00",2014-01-28
39,Employee 39,Sales,"$78,095.00",2010-09-20
40,Employee 40,Finance,"$81,285.00",2010-08-22
41,Employee 41,Engineering,"$44,137.00",2017-05-27
42,Employee 42,Finance,"$115,518.00",2014-11-28
43,Employee 43,Finance,"$83,834.00",2023-02-15
44,Employee 44,Engineering,"$53,851.00",2009-12-31
45,Employee 45,HR,"$94,889.00",2019-08-20
46,Employee 46,Marketing,"$70,976.00",2014-08-17
47,Employee 47,Engineering,"$45,141.00",2010-03-03
48,Employee 48,Analytics,"$63,981.00",2014-06-09
49,Employee 49,Analytics,"$94,219.00",2020-03-12
50,Employee 50,Finance,"$87,154.00",2012-09-03
51,Employee 51,HR,"$40,136.00",2013-08-18
52,Employee 52,Sales,"$44,435.00",2012-04-16
53,Employee 53,HR,"$95,280.00",2013-12-13
54,Employee 54,HR,"$115,635.00",2010-09-08
55,Employee 55,HR,"$75,150.00",2013-09-30
56,Employee 56,Engineering,"$93,791.00",2014-01-20
57,Employee 57,Sales,"$97,100.00",2017-05-19
58,Employee 58,Finance,"$64,204.00",2015-03-12
59,Employee 59,Marketing,"$88,023.00",2014-11-11
60,Employee 60,Sales,"$94,176.00",2020-06-05
